"word","morphs","pos","lexdec","aoa","conc","freq"
"negligee",1,"NN",826.88,15.92,4.48,37
"cadaver",1,"NN",718.38,13,4.48,60
"prickly",2,"JJ",771.53,6.29,3.89,29
"wooded",2,"JJ",754.97,8.68,4.46,17
"mannerism",2,"NN",794.87,11.44,2.37,2
"viciousness",2,"NN",813.1,12.26,1.81,6
"poser",2,"NN",710.42,13.22,3.6,17
"energy",2,"NN",644.61,6.52,3.11,1678
"frown",1,"VB",686.73,4.52,4.08,104
"connection",2,"NN",675.81,8,3,1386
"mental",1,"JJ",599.74,8.84,2.04,1002
"leaderless",3,"JJ",854.56,11.75,2.17,3
"counterproposal",4,"NN",1133.23,15.19,2.55,3
"pathologist",3,"NN",830.85,14.6,4.27,41
"processional",4,"JJ",954.89,11.18,3.3,4
"peasantry",2,"NN",870.52,12.17,2.83,5
"frog",1,"NN",607.63,4.32,5,603
"bridal",2,"JJ",600.09,8.47,3.25,133
"boy",1,"NN",532.91,3.67,4.76,27021
"continue",1,"VB",624.18,7.53,2.36,2527
"demonstrator",4,"NN",848.5,9.3,4,8
"bicarbonate",3,"NN",982,15.79,3.71,37
"solicit",1,"VB",822.9,11.71,2.83,31
"nitrate",2,"NN",919.73,14.12,2.96,55
"sausage",1,"NN",668.78,6.05,4.88,397
"forestry",2,"NN",898.3,9.94,3.63,11
"accrue",1,"VB",704.89,14.11,1.61,4
"slowness",2,"NN",718.56,8.16,2.62,4
"abnormality",4,"NN",781.44,11.58,2.48,26
"cremation",2,"NN",936.44,11.43,3.69,41
"laborious",2,"JJ",872.29,12.84,2,6
"facilitation",3,"NN",912.1,14.41,1.81,6
"foolproof",2,"JJ",774.03,9.71,1.79,94
"mechanical",3,"JJ",673.7,8.85,3.17,250
"applicable",3,"JJ",739.7,13.37,2.3,14
"inarticulate",3,"JJ",947.48,13.87,2.31,13
"profitability",3,"NN",956.68,11.72,1.86,9
"sonata",1,"NN",842.14,14.93,3.7,32
"offshore",2,"JJ",668.65,10.47,3.65,115
"wallboard",2,"NN",726.67,9.29,4.5,1
