Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
have,18,18,3.72,1.96,314232
do,20,20,3.6,1.6,312915
be,18,18,5.11,3.23,293085
know,18,18,4.5,2.12,291780
can,19,19,4.32,2.26,267620
get,18,18,3.17,1.29,233772
go,19,19,3.37,1.46,193445
come,19,19,3.32,1.42,160190
want,19,19,4.16,2.32,140718
think,20,20,4.75,1.55,137261
good,20,20,3.55,1.61,133117
see,18,18,3.06,1.43,130393
let,19,19,4.53,2.09,123381
will,18,17,7.53,2.87,108306
time,19,19,5.16,1.86,99890
look,19,19,4.05,1.68,99311
take,19,19,4.37,1.89,96443
man,19,19,3.11,1.24,94133
would,18,18,5.28,1.56,90162
tell,19,19,4.26,2.05,87949
say,19,19,3.42,1.07,83629
little,19,19,3.95,1.87,73766
way,37,36,5.39,1.74,72661
make,19,19,4.68,1.77,70775
need,18,18,3.56,1.34,66040
mean,18,18,4,1.68,63443
sorry,18,18,3.44,1.89,59566
give,18,18,4.28,1.93,59559
thank,19,19,3.79,1.72,56877
love,18,18,5.17,3.54,56864
people,21,21,3.52,1.6,56252
sure,20,20,4.85,1.46,56091
thing,19,19,4.58,1.61,55522
sir,19,19,6.37,3.04,49188
help,20,20,3.65,1.79,46977
night,18,18,3.61,1.88,44168
call,19,19,4.74,1.85,43931
talk,19,19,3.68,1.73,43605
find,18,18,5.78,3.89,42379
wait,20,20,4.3,1.89,42343
put,18,18,3.72,2.3,42251
great,20,20,5.05,1.23,41864
day,18,18,3.5,1.58,40893
work,21,21,5.86,3.29,40699
life,19,19,5.89,3.23,40629
guy,18,18,4.11,1.91,38893
other,21,21,5.33,2.35,37505
new,18,18,4.72,2.14,36913
stop,18,18,2.89,1.6,36071
keep,19,19,4.42,2.04,35846
must,19,19,4.58,2.36,35661
big,18,18,2.89,1.08,34824
nice,19,19,3.95,1.51,33125
name,19,19,3.68,1.53,32735
money,19,19,5.11,1.85,32679
feel,19,19,5.11,2.73,31989
believe,18,18,5.78,1.7,31882
thanks,19,19,3.53,1.35,31789
old,18,18,3.72,1.36,31056
place,19,19,4.95,1.96,30736
fine,18,18,7.44,2.68,30502
kind,18,18,4.89,1.23,30125
leave,19,19,5.58,2.48,28596
girl,19,19,4,1.89,28413
hear,20,20,3.8,1.64,28323
father,19,19,4.11,1.76,28279
bad,19,19,2.79,1.27,27804
listen,20,20,5.4,2.62,27784
remember,19,19,5.63,1.95,27666
boy,18,18,3.67,1.88,27021
wrong,18,18,4.22,1.48,26678
stay,18,18,4.22,2.21,26298
house,19,19,3.16,1.07,26214
may,20,20,5.65,2.35,26080
baby,19,19,3.84,2.01,25978
dad,19,19,2.58,1.17,25870
show,19,19,6.21,1.81,24906
care,20,20,5.65,2.01,24748
mind,19,19,5.37,1.86,24715
ask,19,19,2.89,1.37,24640
car,19,19,3.37,1.95,24636
understand,18,18,6.17,2.75,24605
mother,19,19,2.63,1.07,24476
try,18,18,3.44,2.15,24314
shit,19,19,6.53,2.91,24207
hell,19,19,5.11,1.88,24012
miss,18,18,6.33,3.41,23850
world,19,19,5.32,2.26,23216
guess,18,18,5.44,1.46,23153
kill,20,20,6.35,2.58,23081
dead,18,18,5.17,2.09,22898
real,20,20,4.95,1.43,22583
room,18,18,4.22,1.44,22415
morning,19,19,4,1.45,22389
hold,18,18,4.67,2.89,22273
woman,20,20,4.95,2.19,22166
mom,18,18,2.22,1.22,21950
friend,21,21,3.57,1.43,21384
move,21,21,4.62,1.75,21325
job,18,18,5.39,2.06,21063
son,18,18,3.78,1.26,20949
ready,19,19,5.53,2.67,19778
whole,19,19,6.89,2.71,19660
fuck,18,18,11.22,3.15,19307
minute,19,19,7.26,3.09,19252
head,19,19,3.42,1.02,18947
matter,18,18,7.56,2.83,18900
haven,18,15,9.13,2.88,18844
excuse,18,18,6.33,2,18773
idea,19,19,5.95,2.09,18311
play,20,20,4.1,2.59,18081
family,21,21,3.38,1.43,18067
meet,19,19,4.74,1.73,17966
run,19,19,4.47,1.9,17878
wife,18,18,5.67,3.2,17795
live,20,20,6.1,2.15,17574
use,18,18,4.5,1.82,17536
start,19,19,4.37,1.74,17345
kid,18,18,4.28,1.56,17299
happy,18,18,2.72,1.6,16993
school,19,19,3.89,1.37,16989
problem,18,18,6.06,2.88,16833
watch,18,18,4.33,1.61,16831
bring,19,19,4.42,2.46,16685
fucking,19,19,10.74,3.28,16603
business,19,19,7.47,2.32,16371
hope,18,18,4.89,2.11,16352
open,18,18,5,2,16341
sit,19,19,3.47,2.25,15879
cause,19,19,5.84,3.1,15812
alone,18,18,4.94,1.73,15735
hard,18,18,4.39,2.15,15700
stuff,18,18,5,1.78,15653
turn,19,19,4.11,1.73,15630
honey,18,18,5.44,1.85,15325
door,20,20,3.05,1.15,14895
face,20,20,3.75,2.2,14747
worry,18,18,6.61,2.73,14638
second,19,19,4.68,1.95,14513
brother,19,19,3.63,1.54,14481
damn,20,20,8.3,2.23,14460
case,19,19,6.74,2,14403
beautiful,18,18,5.72,1.84,14266
hand,19,19,2.74,1.24,14262
check,19,19,5.53,1.68,14228
year,21,21,5.24,1.73,14174
forget,18,18,4.78,1.99,14130
hit,20,20,4.75,2.83,14025
crazy,18,18,5.22,1.66,13886
phone,19,19,4.11,1.49,13756
late,18,18,5.28,1.93,13756
end,18,18,4.28,2.61,13559
easy,21,21,5.43,1.89,13551
doctor,20,20,4.6,1.98,13461
shut,18,18,4.89,2.17,13455
part,19,19,5.11,1.15,13337
deal,18,18,6,2.06,13330
die,19,19,4.53,1.78,13318
pay,18,18,5.5,1.76,12985
happen,19,19,5.26,1.37,12968
supposed,18,18,8.67,2.79,12865
eat,18,18,2.78,1.48,12846
town,19,19,5.11,2.66,12644
afraid,19,19,4.42,1.71,12631
drink,19,19,3.47,1.31,12617
hurt,19,19,4,1.45,12564
heart,18,18,5.17,2.23,12453
young,18,18,4.61,1.5,12402
chance,18,18,7.78,2.1,12303
read,18,18,4.11,1.68,12302
number,18,18,3.94,1.59,12288
change,19,19,4.26,1.66,12258
week,18,18,5.11,2.56,12164
point,20,20,4.55,1.61,12063
police,19,19,5.05,1.96,12044
word,19,19,4.42,1.74,12013
fun,18,18,3.67,0.97,12010
wish,19,19,3.79,0.92,11991
bit,19,19,6.47,2.55,11987
game,19,19,4.26,1.82,11926
party,19,19,4.58,2.41,11890
set,19,18,6,3.03,11805
cut,21,21,4.43,1.72,11718
sleep,19,19,2.79,1.03,11625
shot,19,19,5.84,2.75,11599
ass,19,19,7.84,3.11,11545
stand,18,18,4.39,1.79,11536
water,19,19,2.37,0.76,11478
trouble,18,18,4.56,2.94,11401
couple,20,20,5.75,1.83,11394
break,20,20,5.3,2.18,11275
story,19,19,3.89,1.59,11260
times,20,20,6.7,2.43,11221
close,20,20,4.5,1.82,11191
funny,19,19,5.47,2.57,11127
lady,19,19,3.68,1.63,11071
death,19,19,5.37,1.8,11051
walk,20,20,3.45,2.04,11009
fire,20,20,3.25,1.16,10990
hate,19,19,5.53,2.06,10944
gun,19,19,5.58,2.52,10873
rest,18,18,4.22,2.53,10861
person,21,21,4.67,1.88,10857
different,20,20,5.5,1.67,10686
captain,18,18,6.06,1.92,10622
important,19,19,5.79,2.18,10587
line,20,20,4.85,2.52,10515
office,1928,1927,6.68,2.48,10399
dinner,1933,1933,3.99,1.79,10336
fight,19,19,5.47,2.06,10255
side,18,18,4.72,1.27,10247
pick,19,19,5.26,2.31,10118
question,19,19,6.16,2.65,10116
cool,19,19,4.58,2.32,9990
body,18,18,4.28,2.32,9972
high,19,19,4.58,2.24,9945
husband,19,19,5.53,2.27,9935
reason,19,19,7.84,2.57,9858
dog,20,20,2.8,1.2,9835
buy,36,36,5.56,2.08,9814
truth,19,19,4.42,2.06,9801
hot,19,19,3.37,1.77,9682
speak,18,18,3.56,1.38,9546
bed,19,19,2.89,1.41,9543
moment,20,20,7.95,3.41,9539
blood,18,18,4.89,1.64,9492
shall,19,19,8.42,2.57,9441
daddy,18,18,2.56,1.29,9439
stupid,20,20,4.4,1.47,9405
sister,19,19,3.68,2.4,9207
send,19,19,5.68,1.73,9169
welcome,18,18,4.06,1.21,9140
trust,20,20,6.55,2.39,9087
free,19,19,5.21,1.78,9054
book,19,19,3.68,1.8,9026
answer,21,21,5.43,1.89,8986
war,18,18,7.67,1.75,8912
hurry,18,18,4.44,1.85,8856
fact,19,19,6.47,2.78,8801
bet,19,19,7,2.43,8763
clear,20,20,5.8,1.79,8763
white,18,18,4.06,1.66,8744
glad,19,19,5.79,2.18,8740
daughter,19,19,4.95,2.17,8739
city,18,18,6.56,3.26,8624
bitch,18,18,10.11,2.19,8609
black,18,18,3.56,1.92,8565
full,21,21,4.24,1.61,8512
sick,19,19,4.05,2.09,8437
light,19,19,4.05,1.99,8425
shoot,19,19,5.53,2.39,8412
news,19,19,6.16,2.27,8399
lose,18,18,5.78,2.32,8382
wonderful,19,19,6.47,2.91,8364
save,18,18,5.44,1.69,8278
hour,20,20,5.85,1.79,8277
country,19,19,7.05,1.81,8254
able,19,19,7.79,3.31,8155
perfect,18,18,5.78,2.24,8091
order,19,19,6.26,2.23,7985
alive,19,19,5.11,2.4,7878
food,20,20,3.25,1.21,7876
luck,19,19,6.53,2.04,7840
hair,18,18,3.17,1.76,7831
drive,19,19,5.26,2.58,7810
promise,18,18,5.67,2.4,7809
sex,19,19,9.79,2.57,7761
music,21,21,3.81,2.5,7734
power,21,21,7.48,2.4,7600
special,20,20,5,1.84,7577
serious,19,19,6.58,2.19,7566
street,19,19,4.58,2.48,7557
red,19,19,3.68,1.63,7551
dance,19,19,4.63,1.57,7550
hang,19,19,6.68,2.21,7535
touch,19,19,5.16,2.95,7534
team,18,18,6,1.81,7528
company,19,19,6.84,2.36,7507
pull,19,19,4.79,1.93,7469
plan,18,18,6.78,2.88,7432
sweet,19,19,4.53,2.46,7405
coffee,18,18,4.94,1.73,7371
lucky,18,18,5.89,1.81,7316
sound,18,18,3.72,1.53,7313
safe,18,18,5.11,2.65,7303
date,19,19,5.84,2.01,7218
president,18,18,6.89,3.38,7174
seem,19,19,6.74,2.08,7131
air,18,18,3.94,1.55,7090
picture,19,19,4.05,1.31,7061
lord,19,19,5.95,2.04,7046
catch,1928,1928,4.61,2.07,6911
ride,18,18,4.67,2.17,6904
win,19,18,4.22,1.31,6867
top,18,18,3.89,1.53,6805
scared,19,19,3.79,1.47,6803
dream,1931,1930,4.88,1.95,6798
sign,19,19,4.32,1.45,6797
meeting,18,18,5.72,1.9,6752
sense,19,19,7.32,2.31,6722
beat,20,20,6.15,1.66,6716
control,19,19,7.26,2.38,6662
drop,19,19,3.26,1.33,6661
cold,20,20,3.95,1.79,6638
darling,19,19,5.79,2.86,6613
figure,19,19,7.53,2.72,6598
king,19,19,5.42,2.63,6592
poor,19,19,6.11,1.94,6583
throw,21,21,4.14,1.46,6570
write,18,18,4.89,1.64,6467
suppose,19,19,8.21,2.82,6416
small,18,18,3.22,1.52,6373
human,18,18,4.83,1.76,6363
piece,19,19,4.89,1.7,6349
boss,19,19,6.16,2.36,6339
hospital,20,20,5.55,1.76,6334
uncle,19,19,4.47,1.87,6327
past,18,18,6.78,1.52,6312
