Word,MorphStatus,Lang,ImmSA,ImmAllo,FlatClass,FlatSA,Flat,Class,SylCnt,StrsPat
a,M,,S,N,D,S,a[D],ART,1,1
a,M,,S,N,N,S,a[N],N,1,1
a,I,,,,,,,,1,1
A,I,,,,,,,,1,1
AA,M,,S,N,N,S,AA[N],N,2,x1
AA,I,,,,,,,,2,x1
aback,C,,AS,N,xN,AS,a[B|.N]+back[N][B],ADV,2,x1
abacus,R,,,,,,,N,3,1xx
abaft,Z,,S,N,xB,AS,ab[P|.B]+aft[B][P][B],ADV,2,x1
abaft,C,,AS,N,xB,AS,ab[P|.B]+aft[B][P],PREP,2,x1
abandon,Z,,S,N,V,S,abandon[V][N],N,3,x1x
abandon,M,,S,N,V,S,abandon[V],V,3,x1x
abandoned,Z,,F,N,V,F,abandoned[V][A],A,3,x1x
abandonment,C,,SA,N,Vx,SA,abandon[V]+ment[N|V.][N],N,4,x1xx
abase,R,,,,,,,V,2,x1
abasement,C,,SA,N,Vx,SA,abase[V]+ment[N|V.][N],N,3,x1x
abash,R,,,,,,,V,2,x1
abate,R,,,,,,,V,2,x1
abatement,C,,SA,N,Vx,SA,abate[V]+ment[N|V.][N],N,3,x1x
abattoir,U,B,,,,,,N,3,1xx
abbe,M,,S,N,N,S,abbe[N],N,2,1x
abbess,O,,,,,,,N,2,1x
abbey,M,,S,N,N,S,abbey[N],N,2,1x
abbot,M,,S,N,N,S,abbot[N],N,2,1x
abbreviate,O,,,,,,,V,4,x1xx
abbreviation,C,,SA,N,Vx,SA,abbreviate[V]+ion[N|V.][N],N,5,xxx1x
ABC,M,,S,N,N,S,ABC[N],N,3,xx1
abdicate,O,,,,,,,V,3,1xx
abdication,C,,SA,N,Vx,SA,abdicate[V]+ion[N|V.][N],N,4,xx1x
abdomen,R,,,,,,,N,3,1xx
abdominal,C,,SA,N,Nx,SA,abdomen[N]+al[A|N.][A],A,4,x1xx
abduct,R,,,,,,,V,2,x1
abduction,C,,SA,N,Vx,SA,abduct[V]+ion[N|V.][N],N,3,x1x
abeam,C,,AS,N,xN,AS,a[B|.N]+beam[N][B],ADV,2,x1
abed,C,,AS,N,xN,AS,a[A|.N]+bed[N][A],A,2,x1
aberrant,C,,AS,N,xVx,ASA,ab[A|.A]+err[V]+ant[A|V.][A][A],A,3,x1x
aberration,O,,,,,,,N,4,xx1x
abet,M,,S,N,V,S,abet[V],V,2,x1
abettor,C,,SA,N,Vx,SA,abet[V]+or[N|V.][N],N,3,x1x
abeyance,C,,SA,N,Ax,SA,abeyant[A]+ance[N|A.][N],N,3,x1x
abeyant,O,,,,,,,A,3,x1x
abhor,R,,,,,,,V,2,x1
abhorrence,C,,SA,N,Vxx,SAA,abhor[V]+ent[A|V.][A]+ence[N|A.][N],N,3,x1x
abhorrent,C,,SA,N,Vx,SA,abhor[V]+ent[A|V.][A],A,3,x1x
abidance by,C,,SA,N,VPx,SSA,abide[V]+by[P][V]+ance[N|V.][N],N,4,x1xx
abide,R,,,,,,,V,2,x1
abide by,C,,SS,N,VP,SS,abide[V]+by[P][V],V,3,x1x
abiding,Z,,F,N,V,F,abiding[V][A],A,3,x1x
abilities,Z,,F,N,N,F,abilities[N][N],N,4,x1xx
ability,C,,SA,N,Ax,SA,able[A]+ity[N|A.][N],N,4,x1xx
ab initio,U,,,,,,,ADV,5,xx1xx
abject,R,,,,,,,A,2,1x
abjection,C,,SA,N,Ax,SA,abject[A]+ion[N|A.][N],N,3,x1x
abjectly,C,,SA,N,Ax,SA,abject[A]+ly[B|A.][B],ADV,3,1xx
abjuration,C,,SA,N,Vx,SA,abjure[V]+ation[N|V.][N],N,4,xx1x
abjure,R,,,,,,,V,2,x1
ablative,Z,,S,N,A,S,ablative[A][N],N,3,1xx
ablative,R,,,,,,,A,3,1xx
ablaut,U,,,,,,,N,2,1x
ablaze,C,,AS,N,xN,AS,a[A|.V]+blaze[N][V][A],A,2,x1
ablaze,Z,,S,N,xN,AS,a[A|.V]+blaze[N][V][A][B],ADV,2,x1
able,M,,S,N,A,S,able[A],A,2,1x
able-bodied,C,,SSA,N,ANx,SSA,able[A]+body[N]+ed[A|AN.][A],A,4,xx1x
able-bodied seaman,C,,SS,N,ANxNN,SSASS,able[A]+body[N]+ed[A|AN.][A]+sea[N]+man[N][N][N],N,6,xxxx1x
able seaman,C,,SS,N,ANN,SSS,able[A]+sea[N]+man[N][N][N],N,4,xx1x
ablution,O,,,,,,,N,3,x1x
ablutions,Z,,F,N,N,F,ablutions[N][N],N,3,x1x
ably,C,,SA,N,Ax,SA,able[A]+ly[B|A.][B],ADV,2,1x
abnegate,C,,AS,N,xV,AS,ab[V|.V]+negate[V][V],V,3,1xx
abnegation,C,,SA,N,xVx,ASA,ab[V|.V]+negate[V][V]+ion[N|V.][N],N,4,xx1x
abnormal,C,,AS,N,xNx,ASA,ab[A|.A]+norm[N]+al[A|N.][A][A],A,3,x1x
abnormality,C,,SA,N,xNxx,ASAA,ab[A|.A]+norm[N]+al[A|N.][A][A]+ity[N|A.][N],N,5,xx1xx
abnormally,C,,SA,N,xNxx,ASAA,ab[A|.A]+norm[N]+al[A|N.][A][A]+ly[B|A.][B],ADV,4,x1xx
abo,C,,S,C,N,S,aborigine[N][N],N,2,1x
aboard,C,,AS,N,xN,AS,a[B|.N]+board[N][B],ADV,2,x1
aboard,Z,,S,N,xN,AS,a[B|.N]+board[N][B][P],PREP,2,x1
abode,R,,,,,,,N,2,x1
abolish,R,,,,,,,V,3,x1x
abolition,C,,SA,N,Vx,SA,abolish[V]+ion[N|V.][N],N,4,xx1x
abolitionist,C,,SA,N,Vxx,SAA,abolish[V]+ion[N|V.][N]+ist[N|N.][N],N,5,xx1xx
A-bomb,C,,S,C,NN,SS,atom[N]+bomb[N][N][N],N,2,1x
abominable,O,,,,,,,A,5,x1xxx
abominable snowman,C,,SS,N,AVN,SSS,abominable[A]+snow[V][N]+man[N][N][N],N,7,xxxxx1x
abominably,C,,SA,N,Ax,SA,abominable[A]+ly[B|A.][B],ADV,5,x1xxx
abominate,O,,,,,,,V,4,x1xx
abomination,C,,SA,N,Vx,SA,abominate[V]+ion[N|V.][N],N,5,xxx1x
aboriginal,Z,,S,N,Nx,SA,aborigine[N]+al[A|N.][A][N],N,5,xx1xx
aboriginal,C,,SA,N,Nx,SA,aborigine[N]+al[A|N.][A],A,5,xx1xx
aborigine,M,,S,N,N,S,aborigine[N],N,5,xx1xx
Aborigine,M,,S,N,N,S,Aborigine[N],N,5,xx1xx
abort,R,,,,,,,V,2,x1
abortion,C,,SA,N,Vx,SA,abort[V]+ion[N|V.][N],N,3,x1x
abortionist,C,,SA,N,Vxx,SAA,abort[V]+ion[N|V.][N]+ist[N|N.][N],N,4,x1xx
abortive,C,,SA,N,Vxx,SAA,abort[V]+ion[N|V.][N]+ive[A|N.][A],A,3,x1x
abortively,C,,SA,N,Vxxx,SAAA,abort[V]+ion[N|V.][N]+ive[A|N.][A]+ly[B|A.][B],ADV,4,x1xx
abound,R,,,,,,,V,2,x1
abound in,C,,SS,N,VP,SS,abound[V]+in[P][V],V,3,x1x
abound with,C,,SS,N,VP,SS,abound[V]+with[P][V],V,3,x1x
about,Z,,S,N,P,S,about[P][B],ADV,2,x1
about,M,,S,N,P,S,about[P],PREP,2,x1
about,Z,,S,N,P,S,about[P][B][A],A,2,x1
about-face,Z,A,S,N,PN,SS,about[P][B]+face[N][V][N][V],V,3,xx1
about-face,C,A,SS,N,PN,SS,about[P][B]+face[N][V][N],N,3,xx1
about turn,C,,SS,N,PV,SS,about[P][B]+turn[V][N],N,3,xx1
above,Z,,S,N,P,S,above[P][B],ADV,2,x1
above,M,,S,N,P,S,above[P],PREP,2,x1
above,Z,,S,N,P,S,above[P][B][A],A,2,x1
above,Z,,S,N,P,S,above[P][B][A][N],N,2,x1
above board,Z,,S,N,PN,SS,above[P]+board[N][A][B],ADV,3,xx1
aboveboard,C,,SS,N,PN,SS,above[P]+board[N][A],A,3,xx1
above-mentioned,C,,SF,N,PV,SF,above[P][B]+mentioned[V][A],A,4,xx1x
above-mentioned,Z,,S,N,PV,SF,above[P][B]+mentioned[V][A][N],N,4,xx1x
above-named,C,,SF,N,PV,SF,above[P][B]+named[V][A],A,3,xx1
above-named,Z,,S,N,PV,SF,above[P][B]+named[V][A][N],N,3,xx1
abracadabra,Z,,S,N,I,S,abracadabra[I][N],N,5,xxx1x
abracadabra,I,,,,,,,I,5,xxx1x
abrade,R,,,,,,,V,2,x1
abrasion,C,,SA,N,Vx,SA,abrade[V]+ion[N|V.][N],N,3,x1x
